Unix Time,Temperature,Humidity
1636640830.0,39.32,29.55
1636640835.0,39.32,29.59
1636640840.0,39.32,29.60
1636640845.0,39.31,29.58
1636640850.0,39.31,29.59
1636640855.0,39.24,29.64
1636640860.0,39.24,29.77
1636640865.0,39.10,29.85
1636641082.0,38.16,32.00
1636641087.0,38.19,31.96
1636641092.0,38.07,31.97
1636641097.0,38.21,32.03
1636641103.0,38.55,31.69
1636641108.0,38.83,31.30
1636641113.0,39.10,30.96
1636641118.0,39.38,30.62
1636641123.0,39.33,30.37
1636641128.0,39.05,30.65
1636641153.0,38.22,31.65
1636641158.0,38.29,31.82
1636641163.0,38.39,31.81
1636641168.0,38.46,31.74
1636641173.0,38.51,31.77
1636641178.0,38.53,31.72
1636641183.0,38.45,31.66
1636641188.0,38.44,31.71
1636641193.0,38.27,31.68
1636641198.0,38.20,31.87
1636642170.0,36.18,35.67
1636642175.0,36.26,35.61
1636642180.0,36.33,35.51
1636642185.0,36.34,35.40
1636642190.0,36.37,35.31
1636642195.0,36.31,35.32
1636642200.0,36.26,35.35
1636642205.0,36.17,35.39
1636642210.0,36.09,35.54
1636642215.0,36.07,35.59
1636644394.0,31.28,46.29
1636644400.0,31.28,46.33
1636644405.0,31.30,46.38
1636644410.0,31.32,46.32
1636644415.0,31.32,46.28
1636644420.0,31.32,46.28
1636644425.0,31.33,46.25
1636644430.0,31.35,46.23
1636644435.0,31.36,46.19
1636644440.0,31.35,46.18
1636645383.0,29.58,50.96
1636645388.0,29.60,50.88
1636645393.0,29.62,50.83
1636645398.0,29.64,50.76
1636645404.0,29.64,50.69
1636645409.0,29.65,50.64
1636645414.0,29.66,50.63
1636645419.0,29.69,50.62
1636645424.0,29.71,50.59
1636645429.0,29.74,50.55
1636647063.0,28.14,57.78
1636647068.0,28.14,57.74
1636647073.0,28.13,57.69
1636647078.0,28.12,57.67
1636647083.0,28.10,57.63
1636647088.0,28.07,57.67
1636647093.0,28.03,57.83
1636647098.0,28.06,57.81
1636647103.0,28.03,57.76
1636647109.0,27.99,57.75
1636657358.0,25.66,59.32
1636657363.0,25.67,59.27
1636657368.0,25.68,59.22
1636657373.0,25.64,59.27
1636657378.0,25.62,59.35
1636657383.0,25.62,59.44
1636657388.0,25.62,59.43
1636657393.0,25.61,59.33
1636657398.0,25.60,59.33
1636657404.0,25.61,59.32
1636699503.0,29.44,41.42
1636699508.0,29.45,41.27
1636699514.0,29.41,40.93
1636699519.0,29.37,40.81
1636699524.0,29.38,40.74
1636699529.0,29.42,40.70
1636699534.0,29.43,40.50
1636699539.0,29.43,40.45
1636699544.0,29.41,40.44
1636700164.0,28.42,41.93
1636700169.0,28.43,41.98
1636700174.0,28.45,42.01
1636700179.0,28.45,42.05
1636700184.0,28.45,41.95
1636700189.0,28.47,41.87
1636700194.0,28.47,41.93
1636700199.0,28.50,41.99
1636700204.0,28.56,42.15
1636700209.0,28.56,42.15
1636709007.0,31.21,38.82
1636709012.0,31.25,38.84
1636709017.0,31.27,38.91
1636709022.0,31.27,39.28
1636709027.0,31.27,39.52
1636709032.0,31.23,39.38
1636709037.0,31.17,39.28
1636709043.0,31.14,39.41
1636709048.0,31.16,39.37
1636709053.0,31.18,39.37
1636709402.0,32.04,40.12
1636709407.0,32.07,40.15
1636709412.0,32.10,40.31
1636709417.0,32.14,40.38
1636709422.0,32.17,40.24
1636709427.0,32.17,40.06
1636709432.0,32.20,39.83
1636709437.0,32.19,39.54
1636709442.0,32.19,39.26
1636709447.0,32.17,38.96
1636713002.0,31.99,37.97
1636713007.0,32.01,38.31
1636713012.0,32.03,38.39
1636713017.0,32.04,38.29
1636713022.0,31.98,38.12
1636713027.0,31.94,38.03
1636713033.0,31.90,37.97
1636713038.0,31.90,37.94
1636713043.0,31.87,38.15
1636713048.0,31.86,37.96
1636716603.0,33.86,34.62
1636716608.0,33.89,34.59
1636716613.0,33.85,34.66
1636716618.0,33.86,34.79
1636716623.0,33.91,34.81
1636716628.0,33.91,34.62
1636716633.0,33.88,34.37
1636716638.0,33.90,34.37
1636716643.0,33.93,34.20
1636716648.0,33.90,33.91
1636720203.0,32.95,35.92
1636720208.0,33.02,36.17
1636720213.0,33.01,36.07
1636720218.0,33.04,36.06
1636720223.0,33.11,35.97
1636720228.0,33.10,35.82
1636720233.0,33.16,35.79
1636720238.0,33.17,35.77
1636720243.0,33.21,35.66
1636723855.0,Could,not f
1636723874.0,31.00,44.32
1636723879.0,31.02,44.31
1636723884.0,31.05,44.33
1636723889.0,31.09,44.24
1636723894.0,31.09,44.16
1636723899.0,31.11,43.96
1636723904.0,31.04,43.94
1636723909.0,30.99,44.01
1636723914.0,30.95,44.06
1636723919.0,30.89,44.22
1636728219.0,36.38,31.61
1636728224.0,36.35,31.67
1636728229.0,36.43,31.77
1636728234.0,36.49,31.87
1636728239.0,36.54,31.79
1636728245.0,36.59,31.63
1636728250.0,36.54,31.57
1636728255.0,36.43,31.57
1636728260.0,36.51,31.56
